id,sample,species,sieve,abundance,biomass,trophic.level,richness,mlO2.mg.h
24,mono2-6,Erichsonella attenuata,5.6,7,102.6137,Herbivore,1,1.27E-10
25,mono2-1,Erichsonella attenuata,5.6,21,307.8411,Herbivore,1,1.62E-11
26,mono2-5,Erichsonella attenuata,5.6,8,117.2728,Herbivore,1,9.87E-11
27,mono3-4,Ampithoe sp.,4,6,34.8402,Herbivore,1,0.000000001
28,3low-5,Ampithoe sp.,4,4,23.2268,Herbivore,3,0.000000002
29,3low-5,Ampithoe sp.,4,4,69.6804,Herbivore,3,2.62E-10
30,3low-5,Ampithoe sp.,4,12,23.2268,Herbivore,3,0.000000002
31,3low-5,Ampithoe sp.,4,12,69.6804,Herbivore,3,2.62E-10
32,3low-5,Bittium varium,4,1,6.9501,Herbivore,3,1.96E-08
33,3low-6,Gammarus mucronatus,4,2,11.6134,Herbivore,3,7.50E-09
34,6low-5,Ampithoe sp.,4,150,871.005,Herbivore,6,2.31E-12
35,6low-5,Erichsonella attenuata,4,2,11.6134,Herbivore,6,7.50E-09
36,6low-5,Gammarus mucronatus,4,122,708.4174,Herbivore,6,3.40E-12
37,3low-4,Erichsonella attenuata,4,3,17.4201,Herbivore,3,3.51E-09
38,3low-4,Ampithoe sp.,4,15,87.1005,Herbivore,3,1.72E-10
39,mono3-5,Ampithoe sp.,4,3,17.4201,Herbivore,1,3.51E-09
40,mono1-3,Gammarus mucronatus,4,3,17.4201,Herbivore,1,3.51E-09
41,mono1-6,Gammarus mucronatus,4,23,133.5541,Herbivore,1,7.73E-11
42,mono3-3,Ampithoe sp.,4,3,17.4201,Herbivore,1,3.51E-09
43,mono3-1,Ampithoe sp.,4,2,11.6134,Herbivore,1,7.50E-09
44,mono1-1,Gammarus mucronatus,4,11,63.8737,Herbivore,1,3.08E-10
45,mono1-1,Ampithoe sp.,4,1,5.8067,Herbivore,1,2.75E-08
46,mono1-1,Erichsonella attenuata,4,1,5.8067,Herbivore,1,2.75E-08
47,mono3-2,Ampithoe sp.,4,6,34.8402,Herbivore,1,0.000000001
48,mono3-2,Erichsonella attenuata,4,1,5.8067,Herbivore,1,2.75E-08
49,mono1-2,Gammarus mucronatus,4,13,75.4871,Herbivore,1,2.25E-10
50,mono1-2,Ampithoe sp.,4,3,17.4201,Herbivore,1,3.51E-09
51,mono1-4,Gammarus mucronatus,4,10,58.067,Herbivore,1,3.68E-10
52,mono3-6,Ampithoe sp.,4,34,197.4278,Herbivore,1,3.72E-11
53,mono1-5,Gammarus mucronatus,4,11,63.8737,Herbivore,1,3.08E-10
54,6high-5,Erichsonella attenuata,4,3,17.4201,Herbivore,6,3.51E-09
55,6low-1,Gammarus mucronatus,4,1,5.8067,Herbivore,6,2.75E-08
56,6high-2,Erichsonella attenuata,4,7,40.6469,Herbivore,6,7.18E-10
57,3low-3,Gammarus mucronatus,4,2,11.6134,Herbivore,3,7.50E-09
58,3low-1,Ampithoe sp.,4,6,34.8402,Herbivore,3,0.000000001
59,3high-1,Erichsonella attenuata,4,3,17.4201,Herbivore,3,3.51E-09
60,mono2-3,Erichsonella attenuata,4,12,69.6804,Herbivore,1,2.62E-10
61,6high-3,Erichsonella attenuata,4,2,11.6134,Herbivore,6,7.50E-09
62,6low-3,Erichsonella attenuata,4,2,11.6134,Herbivore,6,7.50E-09
63,3high-2,Erichsonella attenuata,4,5,29.0335,Herbivore,3,1.35E-09
64,mono2-2,Erichsonella attenuata,4,12,69.6804,Herbivore,1,2.62E-10
65,3low-2,Erichsonella attenuata,4,2,11.6134,Herbivore,3,7.50E-09
66,3low-2,Gammarus mucronatus,4,1,5.8067,Herbivore,3,2.75E-08
67,3high-6,Gammarus mucronatus,4,2,11.6134,Herbivore,3,7.50E-09
68,poly-3,Erichsonella attenuata,4,2,11.6134,Herbivore,9,7.50E-09
69,6low-6,Erichsonella attenuata,4,2,11.6134,Herbivore,6,7.50E-09
70,6low-6,Ampithoe sp.,4,7,40.6469,Herbivore,6,7.18E-10
71,6low-4,Erichsonella attenuata,4,1,5.8067,Herbivore,6,2.75E-08
72,3high-5,Gammarus mucronatus,4,1,5.8067,Herbivore,3,2.75E-08
73,mono6-5,Gammarus mucronatus,4,1,5.8067,Herbivore,1,2.75E-08
74,mono6-4,Bittium varium,4,1,6.9501,Herbivore,1,1.96E-08
75,mono2-4,Erichsonella attenuata,4,29,168.3943,Herbivore,1,5.01E-11
76,mono2-4,Gammarus mucronatus,4,1,5.8067,Herbivore,1,2.75E-08
77,mono2-6,Erichsonella attenuata,4,9,52.2603,Herbivore,1,4.48E-10
78,mono2-1,Erichsonella attenuata,4,21,121.9407,Herbivore,1,9.17E-11
79,mono2-5,Erichsonella attenuata,4,12,69.6804,Herbivore,1,2.62E-10
80,mono3-4,Ampithoe sp.,2.8,67,154.1067,Herbivore,1,5.91E-11
81,mono3-4,Gammarus mucronatus,2.8,7,16.1007,Herbivore,1,4.07E-09
82,mono4-5,Bittium varium,2.8,2,5.3444,Herbivore,1,3.21E-08
83,3low-5,Ampithoe sp.,2.8,30,69.003,Herbivore,3,2.66E-10
84,3low-5,Ampithoe sp.,2.8,30,85.1037,Herbivore,3,1.80E-10
85,mono6-6,Gammarus mucronatus,2.8,2,4.6002,Herbivore,1,4.25E-08
86,3low-5,Ampithoe sp.,2.8,37,69.003,Herbivore,3,2.66E-10
87,3low-5,Ampithoe sp.,2.8,37,85.1037,Herbivore,3,1.80E-10
88,3low-6,Gammarus mucronatus,2.8,12,27.6012,Herbivore,3,1.48E-09
89,6low-5,Gammarus mucronatus,2.8,2,4.6002,Herbivore,6,4.25E-08
90,3low-4,Erichsonella attenuata,2.8,3,6.9003,Herbivore,3,1.99E-08
91,3low-4,Ampithoe sp.,2.8,120,276.012,Herbivore,3,1.99E-11
92,3low-4,Gammarus mucronatus,2.8,4,9.2004,Herbivore,3,1.16E-08
93,3low-4,Bittium varium,2.8,2,5.3444,Herbivore,3,3.21E-08
94,mono3-5,Ampithoe sp.,2.8,80,184.008,Herbivore,1,4.24E-11
95,mono1-3,Gammarus mucronatus,2.8,70,161.007,Herbivore,1,5.45E-11
96,mono1-6,Gammarus mucronatus,2.8,52,119.6052,Herbivore,1,9.51E-11
97,mono1-6,Ampithoe sp.,2.8,4,9.2004,Herbivore,1,1.16E-08
98,mono3-3,Ampithoe sp.,2.8,80,184.008,Herbivore,1,4.24E-11
99,mono3-1,Ampithoe sp.,2.8,80,184.008,Herbivore,1,4.24E-11
100,mono3-1,Gammarus mucronatus,2.8,3,6.9003,Herbivore,1,1.99E-08
101,mono1-1,Gammarus mucronatus,2.8,91,209.3091,Herbivore,1,3.33E-11
102,mono3-2,Ampithoe sp.,2.8,50,115.005,Herbivore,1,1.02E-10
103,mono1-2,Gammarus mucronatus,2.8,129,296.7129,Herbivore,1,1.73E-11
104,mono1-2,Ampithoe sp.,2.8,21,48.3021,Herbivore,1,5.20E-10
105,mono1-4,Gammarus mucronatus,2.8,82,188.6082,Herbivore,1,4.05E-11
106,mono3-6,Ampithoe sp.,2.8,353,811.9353,Herbivore,1,2.63E-12
107,mono1-5,Gammarus mucronatus,2.8,204,469.2204,Herbivore,1,7.35E-12
108,6high-5,Erichsonella attenuata,2.8,5,11.5005,Herbivore,6,7.64E-09
109,6high-5,Bittium varium,2.8,1,2.6722,Herbivore,6,1.17E-07
110,6low-1,Gammarus mucronatus,2.8,2,4.6002,Herbivore,6,4.25E-08
111,6low-1,Ampithoe sp.,2.8,1,2.3001,Herbivore,6,1.56E-07
112,mono7-6,Gammarus mucronatus,2.8,1,2.3001,Herbivore,1,1.56E-07
113,mono9-5,Bittium varium,2.8,1,2.6722,Herbivore,1,1.17E-07
114,mono7-1,Ampithoe sp.,2.8,2,4.6002,Herbivore,1,4.25E-08
115,6high-2,Erichsonella attenuata,2.8,6,13.8006,Herbivore,6,5.43E-09
116,mono9-2,Bittium varium,2.8,1,2.6722,Herbivore,1,1.17E-07
117,3low-3,Gammarus mucronatus,2.8,26,59.8026,Herbivore,3,3.48E-10
118,3low-1,Ampithoe sp.,2.8,80,184.008,Herbivore,3,4.24E-11
119,3high-1,Erichsonella attenuata,2.8,2,4.6002,Herbivore,3,4.25E-08
120,poly-4,Bittium varium,2.8,1,2.6722,Herbivore,9,1.17E-07
121,poly-4,Erichsonella attenuata,2.8,1,2.3001,Herbivore,9,1.56E-07
122,poly-4,Ampithoe sp.,2.8,1,2.3001,Herbivore,9,1.56E-07
123,mono7-4,Gammarus mucronatus,2.8,1,2.3001,Herbivore,1,1.56E-07
124,mono2-3,Erichsonella attenuata,2.8,2,4.6002,Herbivore,1,4.25E-08
125,6high-3,Erichsonella attenuata,2.8,2,4.6002,Herbivore,6,4.25E-08
126,mono4-1,Bittium varium,2.8,1,2.6722,Herbivore,1,1.17E-07
127,poly-1,Erichsonella attenuata,2.8,1,2.3001,Herbivore,9,1.56E-07
128,poly-1,Gammarus mucronatus,2.8,1,2.3001,Herbivore,9,1.56E-07
129,mono7-2,Gammarus mucronatus,2.8,1,2.3001,Herbivore,1,1.56E-07
130,6low-3,Ampithoe sp.,2.8,5,11.5005,Herbivore,6,7.64E-09
131,3high-2,Erichsonella attenuata,2.8,2,4.6002,Herbivore,3,4.25E-08
132,3high-2,Bittium varium,2.8,2,5.3444,Herbivore,3,3.21E-08
133,mono5-1,Gammarus mucronatus,2.8,1,2.3001,Herbivore,1,1.56E-07
134,mono2-2,Erichsonella attenuata,2.8,25,57.5025,Herbivore,1,3.75E-10
135,3low-2,Gammarus mucronatus,2.8,20,46.002,Herbivore,3,5.69E-10
136,3high-6,Gammarus mucronatus,2.8,8,18.4008,Herbivore,3,3.17E-09
137,3high-6,Ampithoe sp.,2.8,1,2.3001,Herbivore,3,1.56E-07
138,poly-3,Erichsonella attenuata,2.8,1,2.3001,Herbivore,9,1.56E-07
139,poly-3,Gammarus mucronatus,2.8,1,2.3001,Herbivore,9,1.56E-07
140,mono4-6,Ampithoe sp.,2.8,2,4.6002,Herbivore,1,4.25E-08
141,mono8-6,Gammarus mucronatus,2.8,1,2.3001,Herbivore,1,1.56E-07
142,mono8-6,Ampithoe sp.,2.8,1,2.3001,Herbivore,1,1.56E-07
143,mono7-5,Gammarus mucronatus,2.8,1,2.3001,Herbivore,1,1.56E-07
144,6low-6,Erichsonella attenuata,2.8,5,11.5005,Herbivore,6,7.64E-09
145,6low-6,Ampithoe sp.,2.8,25,57.5025,Herbivore,6,3.75E-10
146,6low-6,Gammarus mucronatus,2.8,15,34.5015,Herbivore,6,0.000000001
147,6low-4,Erichsonella attenuata,2.8,10,23.001,Herbivore,6,2.08E-09
148,poly-6,Erichsonella attenuata,2.8,2,4.6002,Herbivore,9,4.25E-08
149,3high-5,Gammarus mucronatus,2.8,17,39.1017,Herbivore,3,7.72E-10
150,3high-5,Erichsonella attenuata,2.8,1,2.3001,Herbivore,3,1.56E-07
151,3high-4,Gammarus mucronatus,2.8,1,2.3001,Herbivore,3,1.56E-07
152,3high-4,Bittium varium,2.8,1,2.6722,Herbivore,3,1.17E-07
153,mono2-4,Erichsonella attenuata,2.8,37,85.1037,Herbivore,1,1.80E-10
154,mono2-4,Gammarus mucronatus,2.8,1,2.3001,Herbivore,1,1.56E-07
155,mono2-6,Erichsonella attenuata,2.8,11,25.3011,Herbivore,1,1.74E-09
156,mono4-4,Bittium varium,2.8,3,8.0166,Herbivore,1,0.000000015
157,mono4-2,Bittium varium,2.8,2,5.3444,Herbivore,1,3.21E-08
158,poly-2,Ampithoe sp.,2.8,1,2.3001,Herbivore,9,1.56E-07
159,mono2-1,Erichsonella attenuata,2.8,29,66.7029,Herbivore,1,2.84E-10
160,mono2-1,Gammarus mucronatus,2.8,2,4.6002,Herbivore,1,4.25E-08
161,mono2-1,Bittium varium,2.8,1,2.6722,Herbivore,1,1.17E-07
162,mono2-5,Erichsonella attenuata,2.8,18,41.4018,Herbivore,1,6.93E-10
163,mono3-4,Ampithoe sp.,2,486,442.7946,Herbivore,1,8.19E-12
164,mono3-4,Gammarus mucronatus,2,24,21.8664,Herbivore,1,2.29E-09
165,mono4-5,Bittium varium,2,4,4.1096,Herbivore,1,5.25E-08
166,3low-5,Ampithoe sp.,2,91,82.9101,Herbivore,3,1.89E-10
167,3low-5,Ampithoe sp.,2,91,92.9322,Herbivore,3,1.53E-10
168,mono8-5,Bittium varium,2,1,1.0274,Herbivore,1,7.04E-07
169,6high-6,Bittium varium,2,2,2.0548,Herbivore,6,1.92E-07
170,6high-6,Gammarus mucronatus,2,1,0.9111,Herbivore,6,8.82E-07
171,mono6-6,Gammarus mucronatus,2,2,1.8222,Herbivore,1,2.41E-07
172,mono6-6,Bittium varium,2,1,1.0274,Herbivore,1,7.04E-07
173,3low-5,Ampithoe sp.,2,102,82.9101,Herbivore,3,1.89E-10
174,3low-5,Ampithoe sp.,2,102,92.9322,Herbivore,3,1.53E-10
175,3low-6,Gammarus mucronatus,2,42,38.2662,Herbivore,3,8.04E-10
176,6low-5,Ampithoe sp.,2,178,162.1758,Herbivore,6,5.38E-11
177,6low-5,Erichsonella attenuata,2,3,2.7333,Herbivore,6,1.13E-07
178,6low-5,Gammarus mucronatus,2,98,89.2878,Herbivore,6,1.64E-10
179,3low-4,Erichsonella attenuata,2,8,7.2888,Herbivore,3,1.79E-08
180,3low-4,Ampithoe sp.,2,236,215.0196,Herbivore,3,3.17E-11
181,3low-4,Gammarus mucronatus,2,2,1.8222,Herbivore,3,2.41E-07
182,3low-4,Bittium varium,2,1,1.0274,Herbivore,3,7.04E-07
183,mono3-5,Ampithoe sp.,2,306,278.7966,Herbivore,1,1.95E-11
184,mono1-3,Gammarus mucronatus,2,92,83.8212,Herbivore,1,1.85E-10
185,mono1-6,Gammarus mucronatus,2,360,327.996,Herbivore,1,1.44E-11
186,mono1-6,Ampithoe sp.,2,1,0.9111,Herbivore,1,8.82E-07
187,mono3-3,Ampithoe sp.,2,390,355.329,Herbivore,1,1.24E-11
188,mono3-3,Bittium varium,2,2,2.0548,Herbivore,1,1.92E-07
189,mono3-1,Ampithoe sp.,2,453,412.7283,Herbivore,1,9.35E-12
190,mono1-1,Gammarus mucronatus,2,180,163.998,Herbivore,1,5.26E-11
191,mono3-2,Ampithoe sp.,2,249,226.8639,Herbivore,1,2.87E-11
192,mono1-2,Gammarus mucronatus,2,170,154.887,Herbivore,1,5.86E-11
193,mono1-2,Ampithoe sp.,2,14,12.7554,Herbivore,1,6.29E-09
194,mono1-4,Gammarus mucronatus,2,150,136.665,Herbivore,1,7.41E-11
195,mono1-4,Bittium varium,2,2,2.0548,Herbivore,1,1.92E-07
196,mono3-6,Ampithoe sp.,2,609,554.8599,Herbivore,1,5.37E-12
197,mono1-5,Gammarus mucronatus,2,245,223.2195,Herbivore,1,2.95E-11
198,6high-5,Erichsonella attenuata,2,1,0.9111,Herbivore,6,8.82E-07
199,6high-5,Bittium varium,2,3,3.0822,Herbivore,6,8.99E-08
200,6low-1,Gammarus mucronatus,2,3,2.7333,Herbivore,6,1.13E-07
201,6low-1,Ampithoe sp.,2,23,20.9553,Herbivore,6,2.48E-09
202,mono8-4,Bittium varium,2,2,2.0548,Herbivore,1,1.92E-07
203,mono8-4,Ampithoe sp.,2,1,0.9111,Herbivore,1,8.82E-07
204,mono7-6,Gammarus mucronatus,2,1,0.9111,Herbivore,1,8.82E-07
205,mono9-5,Bittium varium,2,3,3.0822,Herbivore,1,8.99E-08
206,mono9-5,Gammarus mucronatus,2,3,2.7333,Herbivore,1,1.13E-07
207,mono7-1,Ampithoe sp.,2,28,25.5108,Herbivore,1,1.72E-09
208,6high-2,Erichsonella attenuata,2,4,3.6444,Herbivore,6,6.57E-08
209,6high-2,Gammarus mucronatus,2,6,5.4666,Herbivore,6,3.07E-08
210,6high-2,Bittium varium,2,6,6.1644,Herbivore,6,2.46E-08
211,mono9-2,Bittium varium,2,3,3.0822,Herbivore,1,8.99E-08
212,mono9-4,Bittium varium,2,2,2.0548,Herbivore,1,1.92E-07
213,mono7-3,Gammarus mucronatus,2,1,0.9111,Herbivore,1,8.82E-07
214,3low-3,Gammarus mucronatus,2,91,82.9101,Herbivore,3,1.89E-10
215,3low-1,Ampithoe sp.,2,190,173.109,Herbivore,3,4.76E-11
216,3low-1,Bittium varium,2,5,5.137,Herbivore,3,3.45E-08
217,3high-1,Erichsonella attenuata,2,4,3.6444,Herbivore,3,6.57E-08
218,3high-1,Bittium varium,2,3,3.0822,Herbivore,3,8.99E-08
219,poly-4,Bittium varium,2,3,3.0822,Herbivore,9,8.99E-08
220,poly-4,Erichsonella attenuata,2,1,0.9111,Herbivore,9,8.82E-07
221,poly-4,Ampithoe sp.,2,4,3.6444,Herbivore,9,6.57E-08
222,poly-4,Gammarus mucronatus,2,7,6.3777,Herbivore,9,0.000000023
223,mono7-4,Bittium varium,2,4,4.1096,Herbivore,1,5.25E-08
224,mono7-4,Erichsonella attenuata,2,1,0.9111,Herbivore,1,8.82E-07
225,mono7-4,Ampithoe sp.,2,1,0.9111,Herbivore,1,8.82E-07
226,mono2-3,Erichsonella attenuata,2,7,6.3777,Herbivore,1,0.000000023
227,6high-3,Erichsonella attenuata,2,3,2.7333,Herbivore,6,1.13E-07
228,6high-3,Bittium varium,2,5,5.137,Herbivore,6,3.45E-08
229,6high-3,Ampithoe sp.,2,1,0.9111,Herbivore,6,8.82E-07
230,6low-2,Bittium varium,2,1,1.0274,Herbivore,6,7.04E-07
231,mono4-1,Bittium varium,2,13,13.3562,Herbivore,1,5.77E-09
232,mono4-1,Gammarus mucronatus,2,1,0.9111,Herbivore,1,8.82E-07
233,poly-1,Ampithoe sp.,2,6,5.4666,Herbivore,9,3.07E-08
234,mono8-1,Bittium varium,2,1,1.0274,Herbivore,1,7.04E-07
235,3high-2,Erichsonella attenuata,2,1,0.9111,Herbivore,3,8.82E-07
236,3high-2,Bittium varium,2,17,17.4658,Herbivore,3,3.49E-09
237,3high-2,Gammarus mucronatus,2,1,0.9111,Herbivore,3,8.82E-07
238,mono9-1,Gammarus mucronatus,2,1,0.9111,Herbivore,1,8.82E-07
239,mono5-1,Gammarus mucronatus,2,1,0.9111,Herbivore,1,8.82E-07
240,mono5-3,Bittium varium,2,1,1.0274,Herbivore,1,7.04E-07
241,mono5-3,Ampithoe sp.,2,1,0.9111,Herbivore,1,8.82E-07
242,mono2-2,Erichsonella attenuata,2,25,22.7775,Herbivore,1,2.12E-09
243,3high-3,Erichsonella attenuata,2,2,1.8222,Herbivore,3,2.41E-07
244,3high-3,Ampithoe sp.,2,1,0.9111,Herbivore,3,8.82E-07
245,mono6-3,Erichsonella attenuata,2,1,0.9111,Herbivore,1,8.82E-07
246,3low-2,Gammarus mucronatus,2,68,61.9548,Herbivore,3,3.26E-10
247,3low-2,Bittium varium,2,6,6.1644,Herbivore,3,2.46E-08
248,3high-6,Gammarus mucronatus,2,83,75.6213,Herbivore,3,2.24E-10
249,3high-6,Ampithoe sp.,2,1,0.9111,Herbivore,3,8.82E-07
250,mono4-3,Bittium varium,2,7,7.1918,Herbivore,1,1.84E-08
251,mono4-3,Erichsonella attenuata,2,1,0.9111,Herbivore,1,8.82E-07
252,poly-3,Gammarus mucronatus,2,1,0.9111,Herbivore,9,8.82E-07
253,poly-3,Ampithoe sp.,2,11,10.0221,Herbivore,9,9.88E-09
254,poly-3,Bittium varium,2,2,2.0548,Herbivore,9,1.92E-07
255,mono4-6,Bittium varium,2,8,8.2192,Herbivore,1,1.43E-08
256,mono8-6,Bittium varium,2,1,1.0274,Herbivore,1,7.04E-07
257,mono7-5,Bittium varium,2,3,3.0822,Herbivore,1,8.99E-08
258,6low-6,Erichsonella attenuata,2,1,0.9111,Herbivore,6,8.82E-07
259,6low-6,Ampithoe sp.,2,59,53.7549,Herbivore,6,4.25E-10
260,6low-6,Gammarus mucronatus,2,25,22.7775,Herbivore,6,2.12E-09
261,6high-4,Gammarus mucronatus,2,2,1.8222,Herbivore,6,2.41E-07
262,6low-4,Erichsonella attenuata,2,7,6.3777,Herbivore,6,0.000000023
263,3high-5,Gammarus mucronatus,2,30,27.333,Herbivore,3,1.51E-09
264,3high-5,Bittium varium,2,4,4.1096,Herbivore,3,5.25E-08
265,mono6-4,Gammarus mucronatus,2,1,0.9111,Herbivore,1,8.82E-07
266,3high-4,Gammarus mucronatus,2,1,0.9111,Herbivore,3,8.82E-07
267,3high-4,Bittium varium,2,8,8.2192,Herbivore,3,1.43E-08
268,mono2-4,Erichsonella attenuata,2,26,23.6886,Herbivore,1,0.000000002
269,mono2-6,Erichsonella attenuata,2,4,3.6444,Herbivore,1,6.57E-08
270,mono6-2,Bittium varium,2,3,3.0822,Herbivore,1,8.99E-08
271,mono5-4,Bittium varium,2,1,1.0274,Herbivore,1,7.04E-07
272,mono4-4,Bittium varium,2,7,7.1918,Herbivore,1,1.84E-08
273,mono4-2,Bittium varium,2,13,13.3562,Herbivore,1,5.77E-09
274,poly-2,Ampithoe sp.,2,6,5.4666,Herbivore,9,3.07E-08
275,poly-2,Bittium varium,2,2,2.0548,Herbivore,9,1.92E-07
276,poly-2,Erichsonella attenuata,2,1,0.9111,Herbivore,9,8.82E-07
277,mono2-1,Erichsonella attenuata,2,21,19.1331,Herbivore,1,2.94E-09
278,mono2-1,Gammarus mucronatus,2,8,7.2888,Herbivore,1,1.79E-08
279,mono2-5,Erichsonella attenuata,2,10,9.111,Herbivore,1,1.18E-08
280,mono2-5,Gammarus mucronatus,2,1,0.9111,Herbivore,1,8.82E-07
281,mono2-5,Bittium varium,2,1,1.0274,Herbivore,1,7.04E-07
282,mono3-4,Ampithoe sp.,1.4,437,157.7133,Herbivore,1,5.66E-11
283,mono3-4,Gammarus mucronatus,1.4,12,4.3308,Herbivore,1,4.76E-08
284,6high-1,Gammarus mucronatus,1.4,1,0.3609,Herbivore,6,4.99E-06
285,mono4-5,Bittium varium,1.4,43,16.985,Herbivore,1,3.68E-09
286,3low-5,Ampithoe sp.,1.4,148,53.4132,Herbivore,3,4.30E-10
287,3low-5,Ampithoe sp.,1.4,148,40.0599,Herbivore,3,7.38E-10
288,3low-5,Bittium varium,1.4,1,0.395,Herbivore,3,4.22E-06
289,3low-5,Bittium varium,1.4,1,0.79,Herbivore,3,1.15E-06
290,6high-6,Bittium varium,1.4,3,1.185,Herbivore,6,5.39E-07
291,6high-6,Gammarus mucronatus,1.4,1,0.3609,Herbivore,6,4.99E-06
292,mono6-6,Bittium varium,1.4,1,0.395,Herbivore,1,4.22E-06
293,3low-5,Ampithoe sp.,1.4,111,53.4132,Herbivore,3,4.30E-10
294,3low-5,Ampithoe sp.,1.4,111,40.0599,Herbivore,3,7.38E-10
295,3low-5,Bittium varium,1.4,2,0.395,Herbivore,3,4.22E-06
296,3low-5,Bittium varium,1.4,2,0.79,Herbivore,3,1.15E-06
297,3low-6,Gammarus mucronatus,1.4,104,37.5336,Herbivore,3,8.33E-10
298,3low-6,Bittium varium,1.4,2,0.79,Herbivore,3,1.15E-06
299,6low-5,Ampithoe sp.,1.4,23,8.3007,Herbivore,6,1.41E-08
300,6low-5,Erichsonella attenuata,1.4,3,1.0827,Herbivore,6,6.38E-07
301,6low-5,Gammarus mucronatus,1.4,11,3.9699,Herbivore,6,0.000000056
302,3low-4,Erichsonella attenuata,1.4,4,1.4436,Herbivore,3,3.72E-07
303,3low-4,Ampithoe sp.,1.4,333,120.1797,Herbivore,3,9.42E-11
304,3low-4,Bittium varium,1.4,4,1.58,Herbivore,3,3.14E-07
305,mono3-5,Ampithoe sp.,1.4,314,113.3226,Herbivore,1,1.05E-10
306,mono3-5,Gammarus mucronatus,1.4,1,0.3609,Herbivore,1,4.99E-06
307,mono1-3,Gammarus mucronatus,1.4,214,77.2326,Herbivore,1,2.16E-10
308,mono1-6,Gammarus mucronatus,1.4,199,71.8191,Herbivore,1,2.47E-10
309,mono3-3,Ampithoe sp.,1.4,467,168.5403,Herbivore,1,5.00E-11
310,mono3-3,Bittium varium,1.4,4,1.58,Herbivore,1,3.14E-07
311,mono3-1,Ampithoe sp.,1.4,661,238.5549,Herbivore,1,2.61E-11
312,mono3-1,Gammarus mucronatus,1.4,1,0.3609,Herbivore,1,4.99E-06
313,mono3-1,Bittium varium,1.4,1,0.395,Herbivore,1,4.22E-06
314,mono1-1,Gammarus mucronatus,1.4,248,89.5032,Herbivore,1,1.64E-10
315,mono3-2,Ampithoe sp.,1.4,490,176.841,Herbivore,1,4.57E-11
316,mono3-2,Bittium varium,1.4,2,0.79,Herbivore,1,1.15E-06
317,mono1-2,Gammarus mucronatus,1.4,287,103.5783,Herbivore,1,1.24E-10
318,mono1-2,Ampithoe sp.,1.4,19,6.8571,Herbivore,1,2.01E-08
319,mono1-4,Gammarus mucronatus,1.4,217,78.3153,Herbivore,1,2.10E-10
320,mono3-6,Ampithoe sp.,1.4,476,171.7884,Herbivore,1,4.83E-11
321,mono3-6,Bittium varium,1.4,4,1.58,Herbivore,1,3.14E-07
322,mono1-5,Gammarus mucronatus,1.4,243,87.6987,Herbivore,1,1.70E-10
323,6low-1,Gammarus mucronatus,1.4,1,0.3609,Herbivore,6,4.99E-06
324,6low-1,Ampithoe sp.,1.4,9,3.2481,Herbivore,6,8.15E-08
325,6low-1,Bittium varium,1.4,1,0.395,Herbivore,6,4.22E-06
326,mono8-4,Bittium varium,1.4,3,1.185,Herbivore,1,5.39E-07
327,mono7-6,Gammarus mucronatus,1.4,1,0.3609,Herbivore,1,4.99E-06
328,mono9-5,Bittium varium,1.4,2,0.79,Herbivore,1,1.15E-06
329,mono9-5,Gammarus mucronatus,1.4,5,1.8045,Herbivore,1,2.45E-07
330,mono7-1,Ampithoe sp.,1.4,92,33.2028,Herbivore,1,0.000000001
